,precision,recall,f1-score,support
0,0.7738095238095238,0.7222222222222222,0.7471264367816092,90.0
1,0.6354166666666666,0.8026315789473685,0.7093023255813953,76.0
2,0.7692307692307693,0.3448275862068966,0.47619047619047616,29.0
3,0.7,0.7777777777777778,0.7368421052631577,18.0
accuracy,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676
macro avg,0.71961423992674,0.6618647912885662,0.6673653359541596,213.0
weighted avg,0.7175690897521884,0.704225352112676,0.6958734167079413,213.0
