,Whistling Error Loss,Rhonchus Error Loss,Whistling Accuracy,Rhonchus Accuracy
0,60.9114944934845,113.2487416267395,69.29824352264404,45.614033937454224
1,69.14238333702087,109.29319858551025,65.78947305679321,51.754385232925415
2,53.91227602958679,107.00821876525879,69.29824352264404,45.614033937454224
3,62.794917821884155,108.94460678100586,68.14159154891968,60.176992416381836
4,52.269625663757324,112.26754188537598,74.33628439903259,45.13274431228638
mean,59.80613946914673,110.15246152877808,69.37276721000671,49.658437967300415
